RunId,Success,Duration,TotalTrucks,TotalParcels,MinInterarrival,MaxBeltLoad,MaxStationLoad,AvgProcessingTime,StationLoadStdDev
223,0,2554,10,908,37,300,50,5.04,44.14
224,1,28800,62,5885,9,227,50,5.01,147.20
225,1,28800,66,6322,18,201,50,5.02,135.03
226,1,28800,61,6155,1,257,50,5.02,114.16
227,1,28800,74,7189,1,278,50,4.99,150.29
228,1,28800,71,7363,11,219,50,5.03,120.44
229,1,28800,76,7285,3,200,50,4.99,141.00
230,0,7764,18,1867,10,300,50,5.01,75.15
231,1,28800,70,7154,27,223,50,5.01,140.90
232,1,28800,65,6409,19,180,50,5.01,138.26
233,1,28800,51,5047,5,203,50,4.98,142.98
234,0,24912,57,5736,2,300,50,5.01,86.38
235,1,28800,52,4767,8,239,50,5.01,106.84
236,1,28800,62,6215,1,211,50,5.01,109.65
237,0,1680,9,940,8,300,50,5.01,36.08
238,1,28800,64,6430,18,202,50,4.98,148.95
239,1,28800,63,6163,22,200,50,4.99,92.76
240,1,28800,64,6426,10,209,50,5.04,116.32
241,0,13621,27,2828,31,300,50,5.03,76.60
242,0,15717,46,4612,12,300,50,5.02,109.82
243,1,28800,53,5230,2,278,50,5.01,115.03
244,1,28800,54,5279,2,184,50,4.98,90.18
245,1,28800,73,7129,10,265,50,5.01,116.41
246,1,28800,69,6714,6,287,50,5.02,96.20
247,1,28800,61,6127,5,280,50,5.02,128.33
248,1,28800,55,5326,3,229,50,5.02,90.65
249,1,28800,69,6974,19,217,50,5.02,94.73
250,1,28800,68,7130,1,266,50,4.97,144.57
251,0,9496,30,2858,17,300,50,4.99,82.35
252,1,28800,52,5299,6,245,50,5.02,87.89
253,1,28800,67,6659,8,237,50,4.98,160.76
254,1,28800,56,5686,3,293,50,5.00,160.25
255,1,28800,67,6809,17,223,50,4.99,142.76
256,0,17597,43,4143,4,300,50,5.03,83.00
257,1,28800,68,6613,31,199,50,5.00,138.26
258,1,28800,49,4923,58,190,50,5.02,95.25
259,0,26424,68,7038,1,300,50,4.99,90.59
260,1,28800,54,5247,11,181,50,5.00,130.25
261,1,28800,64,6390,1,297,50,5.02,97.53
262,0,26642,66,6562,1,300,50,5.00,106.34
263,1,28800,62,6306,4,288,50,4.96,107.05
264,0,5892,23,2276,8,300,50,5.05,74.86
265,0,23289,46,4756,2,300,50,4.98,131.10
266,0,17478,39,4090,4,300,50,4.99,89.36
267,1,28800,79,7560,1,299,50,4.98,113.59
268,0,8031,24,2423,2,300,50,4.95,53.65
269,1,28800,72,7174,8,192,50,4.99,130.64
270,0,1071,8,710,1,300,50,5.02,30.06
271,1,28800,70,7110,11,244,50,4.98,136.91
272,1,28800,52,5379,3,235,50,5.04,129.47
273,1,28800,68,6529,1,269,50,5.02,121.86
274,0,27460,63,6506,2,300,50,5.00,144.88
275,1,28800,53,4957,3,210,50,5.01,101.80
276,0,19113,51,5324,13,300,50,4.98,135.26
277,1,28800,67,6673,7,294,50,5.00,137.17
278,1,28800,61,6046,8,172,50,5.00,122.89
279,0,9768,26,2649,30,300,50,4.96,84.86
280,1,28800,69,6756,6,286,50,5.03,162.73
281,0,6825,12,1294,16,300,50,5.04,48.22
282,0,6774,24,2202,3,300,50,4.97,60.10
283,1,28800,71,7193,1,251,50,5.01,131.00
284,1,28800,63,6236,24,208,50,5.02,129.97
285,1,28800,69,6605,2,248,50,5.00,118.17
286,1,28800,59,5667,4,192,50,5.01,154.29
287,1,28800,74,7184,12,226,50,5.02,140.02
288,1,28800,63,6189,5,263,50,4.99,131.33
289,1,28800,64,5998,10,284,50,5.01,121.41
290,0,28702,59,5798,10,300,50,4.98,100.66
291,1,28800,56,5598,5,206,50,5.02,108.59
292,0,5932,14,1325,28,300,50,4.96,47.59
293,0,9842,18,1829,12,300,50,4.99,56.47
294,1,28800,57,5953,9,260,50,5.03,110.93
295,1,28800,58,5885,1,228,50,5.00,123.57
296,0,12452,24,2223,16,300,50,4.94,61.55
297,1,28800,57,5527,6,191,50,5.02,107.05
298,0,6847,14,1337,22,300,50,5.14,45.80
299,0,27968,74,7396,3,300,50,4.99,119.74
300,1,28800,82,8163,8,231,50,5.00,141.27
301,1,28800,63,6150,1,281,50,5.00,85.27
302,1,28800,57,5478,31,142,50,4.95,85.73
303,1,28800,53,5077,1,210,50,5.02,106.74
304,1,28800,52,5237,16,280,50,4.97,107.49
305,0,25109,56,5552,7,300,50,4.95,97.55
306,1,28800,59,6090,11,183,50,4.99,111.56
307,1,28800,65,6324,6,216,50,5.02,108.25
308,0,22101,53,5217,4,300,50,5.03,96.12
309,1,28800,62,6044,9,235,50,5.04,96.46
310,0,2943,8,854,1,300,50,5.00,35.14
311,0,4981,17,1546,11,300,50,4.96,52.92
312,1,28800,72,7189,5,195,50,5.06,133.71
313,1,28800,64,6393,2,274,50,5.01,126.01
314,1,28800,62,5955,10,266,50,4.99,142.77
315,1,28800,56,5453,24,190,50,5.04,127.34
316,1,28800,74,7422,11,295,50,5.01,165.17
317,0,15988,43,4200,2,300,50,5.02,96.90
318,1,28800,51,5352,12,287,50,4.99,113.56
319,0,4124,11,1199,1,300,50,5.07,50.05
320,1,28800,66,6369,3,269,50,5.00,127.55
321,1,28800,64,6390,2,235,50,5.00,127.26
322,0,3547,14,1252,19,300,50,5.05,37.70
323,1,28800,74,7602,3,276,50,4.98,153.61
324,1,28800,66,6846,3,217,50,4.97,122.61
325,0,2446,11,982,15,300,50,5.06,40.90
326,1,28800,55,5371,4,244,50,5.01,111.23
327,1,28800,66,6517,13,187,50,4.96,93.87
328,1,28800,63,5862,25,216,50,5.00,111.74
329,1,28800,58,5630,1,259,50,4.97,144.40
330,1,28800,71,7108,6,213,50,5.00,110.41
331,1,28800,72,7357,6,243,50,4.99,108.93
332,0,17368,40,4041,8,300,50,5.04,100.89
333,1,28800,65,6590,6,283,50,5.00,199.69
334,0,11516,33,3407,1,300,50,5.02,94.72
335,1,28800,66,6382,6,202,50,5.00,128.05
336,1,28800,74,7645,5,287,50,5.01,115.07
337,0,10047,29,2843,5,300,50,4.96,71.56
338,0,13603,35,3489,8,300,50,4.97,101.00
339,1,28800,69,6947,11,204,50,4.99,129.53
340,1,28800,46,4538,1,252,50,5.01,93.39
341,1,28800,62,6254,8,236,50,4.96,123.26
342,1,28800,63,6588,7,247,50,5.03,198.25
343,1,28800,64,6031,1,179,50,5.02,141.73
344,1,28800,64,6361,1,229,50,4.98,130.95
345,1,28800,51,5033,14,271,50,4.98,109.46
346,1,28800,59,6017,13,178,50,4.98,120.22
347,0,3461,14,1430,6,300,50,5.00,63.83
348,1,28800,49,4852,5,171,50,4.98,78.85
349,0,5983,14,1325,1,300,50,4.99,46.76
350,1,28800,73,7489,3,247,50,5.01,146.38
351,0,15584,22,2384,31,300,50,5.05,92.69
352,1,28800,62,5790,2,260,50,5.00,98.72
353,1,28800,68,6842,8,277,50,4.99,142.18
354,0,25220,54,5353,1,300,50,5.02,100.92
355,0,3846,16,1414,11,300,50,5.09,49.94
356,0,4494,17,1570,15,300,50,4.97,53.21
357,1,28800,45,4587,2,215,50,4.96,141.52
358,0,12807,32,3201,1,300,50,4.99,111.36
359,1,28800,69,6723,2,236,50,4.98,138.25
360,0,423,5,501,8,300,50,4.63,22.86
361,1,28800,55,5492,3,272,50,4.98,109.01
362,1,28800,78,7735,1,272,50,5.00,113.39
363,1,28800,55,5512,6,200,50,4.99,112.99
364,1,28800,63,6122,18,228,50,4.98,117.34
365,1,28800,78,7874,3,258,50,5.00,184.49
366,0,20149,45,4768,11,300,50,5.01,76.63
367,1,28800,68,6688,2,249,50,4.99,103.20
368,0,20205,44,4625,14,300,50,4.99,123.32
369,1,28800,70,7167,18,277,50,5.03,144.00
370,0,2031,10,900,11,300,50,4.99,34.30
371,1,28800,80,7929,18,263,50,4.99,146.21
372,1,28800,55,5413,5,290,50,5.00,132.62
373,1,28800,62,6315,19,205,50,5.05,111.02
374,1,28800,66,6408,8,257,50,5.03,162.69
375,1,28800,58,5492,3,203,50,5.00,103.32
376,1,28800,59,6041,1,173,50,5.00,110.29
377,1,28800,55,5829,1,281,50,5.01,135.93
378,1,28800,66,6592,1,271,50,5.01,113.34
379,0,11883,33,3148,4,300,50,5.02,96.40
380,0,24108,55,5818,3,300,50,5.01,144.74
381,1,28800,57,5660,7,203,50,5.00,122.99
382,1,28800,52,5469,4,215,50,5.02,107.74
383,1,28800,63,6263,13,174,50,5.03,126.24
384,0,8329,23,1961,12,300,50,5.02,47.81
385,1,28800,46,4665,3,189,50,4.98,106.42
386,0,6141,19,2036,47,300,50,5.00,51.95
387,0,1379,6,687,24,300,50,5.01,32.99
